,verbs,tense,postid
0,learned,VBD,8vbp1x
1,learned,VBD,8vbp1x
2,reflects,VBZ,8vbp1x
3,reflects,VBZ,8vbp1x
4,having,VBG,8vbp1x
5,having,VBG,8vbp1x
6,leaned,VBD,8vbp1x
7,leaned,VBD,8vbp1x
8,left,VBN,8vbp1x
9,steeped,VBN,8vbp1x
10,written,VBN,8vbp1x
11,written,VBN,8vbp1x
12,know,VBP,8vbp1x
13,know,VBP,8vbp1x
14,stand,VBP,8vbp1x
15,stand,VBP,8vbp1x
16,loose,VB,8vbp1x
17,would,MD,8vbp1x
18,thought,VBD,8vbp1x
19,thought,VBD,8vbp1x
20,including,VBG,8vbp1x
21,disconnecting,VBG,8vbp1x
22,disconnecting,VBG,8vbp1x
23,trying,VBG,8vbp1x
24,think,VB,8vbp1x
25,evolve,VB,8vbp1x
26,reflect,VB,8vbp1x
27,seen,VBN,8vbp1x
28,seen,VBN,8vbp1x
29,become,VBN,8vbp1x
30,become,VBN,8vbp1x
31,become,VBN,8vbp1x
32,TORN,VBN,8vbp1x
33,falling,VBG,8vbp1x
34,approved,VBN,8vbp1x
35,Seeing,VBG,8vbp1x
36,made,VBN,8vbp1x
37,happening,VBG,8vbp1x
38,happening,VBG,8vbp1x
39,shifted,VBN,8vbp1x
40,felt,VBN,8vbp1x
41,felt,VBN,8vbp1x
42,Losing,VBG,8vbp1x
43,would,MD,8vbp1x
44,hurt,VB,8vbp1x
45,destroy,VB,8vbp1x
46,trying,VBG,8vbp1x
47,trying,VBG,8vbp1x
48,monetize,VB,8vbp1x
49,make,VB,8vbp1x
50,could,MD,8vbp1x
51,undo,VB,8vbp1x
52,undo,VB,8vbp1x
53,Thank,VBP,8vbp1x
54,read,VBN,8vbp1x
55,read,VBN,8vbp1x
56,wondering,VBG,8vbp1x
57,wondering,VBG,8vbp1x
58,stood,VBN,8vbp1x
59,stood,VBN,8vbp1x
60,loose,VB,8vbp1x
61,talking,VBG,8vbp1x
62,handle,VB,8vbp1x
63,handle,VB,8vbp1x
64,can,MD,8vbp1x
65,prepare,VB,8vbp1x
66,prepare,VB,8vbp1x
67,get,VBP,8vbp1x
68,caught,VBN,8vbp1x
69,talk,VBP,8vbp1x
70,talk,VBP,8vbp1x
71,could,MD,8vbp1x
72,lose,VB,8vbp1x
73,lose,VB,8vbp1x
74,destroyed,VBN,8vbp1x
75,can,MD,8vbp1x
76,prepare,VB,8vbp1x
77,prepare,VB,8vbp1x
78,happens,VBZ,8vbp1x
79,happens,VBZ,8vbp1x
80,learned,VBD,8vi6xm
81,learned,VBD,8vi6xm
82,reflects,VBZ,8vi6xm
83,reflects,VBZ,8vi6xm
84,having,VBG,8vi6xm
85,having,VBG,8vi6xm
86,leaned,VBD,8vi6xm
87,leaned,VBD,8vi6xm
88,left,VBN,8vi6xm
89,steeped,VBN,8vi6xm
90,written,VBN,8vi6xm
91,written,VBN,8vi6xm
92,know,VBP,8vi6xm
93,know,VBP,8vi6xm
94,stand,VBP,8vi6xm
95,stand,VBP,8vi6xm
96,loose,VB,8vi6xm
97,would,MD,8vi6xm
98,thought,VBD,8vi6xm
99,thought,VBD,8vi6xm
100,including,VBG,8vi6xm
101,disconnecting,VBG,8vi6xm
102,disconnecting,VBG,8vi6xm
103,trying,VBG,8vi6xm
104,think,VB,8vi6xm
105,evolve,VB,8vi6xm
106,reflect,VB,8vi6xm
107,seen,VBN,8vi6xm
108,seen,VBN,8vi6xm
109,become,VBN,8vi6xm
110,become,VBN,8vi6xm
111,become,VBN,8vi6xm
112,TORN,VBN,8vi6xm
113,falling,VBG,8vi6xm
114,approved,VBN,8vi6xm
115,Seeing,VBG,8vi6xm
116,made,VBN,8vi6xm
117,happening,VBG,8vi6xm
118,happening,VBG,8vi6xm
119,shifted,VBN,8vi6xm
120,felt,VBN,8vi6xm
121,felt,VBN,8vi6xm
122,Losing,VBG,8vi6xm
123,would,MD,8vi6xm
124,hurt,VB,8vi6xm
125,destroy,VB,8vi6xm
126,trying,VBG,8vi6xm
127,trying,VBG,8vi6xm
128,monetize,VB,8vi6xm
129,make,VB,8vi6xm
130,could,MD,8vi6xm
131,undo,VB,8vi6xm
132,undo,VB,8vi6xm
133,Thank,VBP,8vi6xm
134,read,VBN,8vi6xm
135,read,VBN,8vi6xm
136,wondering,VBG,8vi6xm
137,wondering,VBG,8vi6xm
138,stood,VBN,8vi6xm
139,stood,VBN,8vi6xm
140,loose,VB,8vi6xm
141,talking,VBG,8vi6xm
142,handle,VB,8vi6xm
143,handle,VB,8vi6xm
144,can,MD,8vi6xm
145,prepare,VB,8vi6xm
146,prepare,VB,8vi6xm
147,get,VBP,8vi6xm
148,caught,VBN,8vi6xm
149,talk,VBP,8vi6xm
150,talk,VBP,8vi6xm
151,could,MD,8vi6xm
152,lose,VB,8vi6xm
153,lose,VB,8vi6xm
154,destroyed,VBN,8vi6xm
155,can,MD,8vi6xm
156,prepare,VB,8vi6xm
157,prepare,VB,8vi6xm
158,happens,VBZ,8vi6xm
159,happens,VBZ,8vi6xm
160,learned,VBD,8vkfk3
161,learned,VBD,8vkfk3
162,reflects,VBZ,8vkfk3
163,reflects,VBZ,8vkfk3
164,having,VBG,8vkfk3
165,having,VBG,8vkfk3
166,leaned,VBD,8vkfk3
167,leaned,VBD,8vkfk3
168,left,VBN,8vkfk3
169,steeped,VBN,8vkfk3
170,written,VBN,8vkfk3
171,written,VBN,8vkfk3
172,know,VBP,8vkfk3
173,know,VBP,8vkfk3
174,stand,VBP,8vkfk3
175,stand,VBP,8vkfk3
176,loose,VB,8vkfk3
177,would,MD,8vkfk3
178,thought,VBD,8vkfk3
179,thought,VBD,8vkfk3
180,including,VBG,8vkfk3
181,disconnecting,VBG,8vkfk3
182,disconnecting,VBG,8vkfk3
183,trying,VBG,8vkfk3
184,think,VB,8vkfk3
185,evolve,VB,8vkfk3
186,reflect,VB,8vkfk3
187,seen,VBN,8vkfk3
188,seen,VBN,8vkfk3
189,become,VBN,8vkfk3
190,become,VBN,8vkfk3
191,become,VBN,8vkfk3
192,TORN,VBN,8vkfk3
193,falling,VBG,8vkfk3
194,approved,VBN,8vkfk3
195,Seeing,VBG,8vkfk3
196,made,VBN,8vkfk3
197,happening,VBG,8vkfk3
198,happening,VBG,8vkfk3
199,shifted,VBN,8vkfk3
200,felt,VBN,8vkfk3
201,felt,VBN,8vkfk3
202,Losing,VBG,8vkfk3
203,would,MD,8vkfk3
204,hurt,VB,8vkfk3
205,destroy,VB,8vkfk3
206,trying,VBG,8vkfk3
207,trying,VBG,8vkfk3
208,monetize,VB,8vkfk3
209,make,VB,8vkfk3
210,could,MD,8vkfk3
211,undo,VB,8vkfk3
212,undo,VB,8vkfk3
213,Thank,VBP,8vkfk3
214,read,VBN,8vkfk3
215,read,VBN,8vkfk3
216,wondering,VBG,8vkfk3
217,wondering,VBG,8vkfk3
218,stood,VBN,8vkfk3
219,stood,VBN,8vkfk3
220,loose,VB,8vkfk3
221,talking,VBG,8vkfk3
222,handle,VB,8vkfk3
223,handle,VB,8vkfk3
224,can,MD,8vkfk3
225,prepare,VB,8vkfk3
226,prepare,VB,8vkfk3
227,get,VBP,8vkfk3
228,caught,VBN,8vkfk3
229,talk,VBP,8vkfk3
230,talk,VBP,8vkfk3
231,could,MD,8vkfk3
232,lose,VB,8vkfk3
233,lose,VB,8vkfk3
234,destroyed,VBN,8vkfk3
235,can,MD,8vkfk3
236,prepare,VB,8vkfk3
237,prepare,VB,8vkfk3
238,happens,VBZ,8vkfk3
239,happens,VBZ,8vkfk3
240,learned,VBD,8w5ju2
241,learned,VBD,8w5ju2
242,reflects,VBZ,8w5ju2
243,reflects,VBZ,8w5ju2
244,having,VBG,8w5ju2
245,having,VBG,8w5ju2
246,leaned,VBD,8w5ju2
247,leaned,VBD,8w5ju2
248,left,VBN,8w5ju2
249,steeped,VBN,8w5ju2
250,written,VBN,8w5ju2
251,written,VBN,8w5ju2
252,know,VBP,8w5ju2
253,know,VBP,8w5ju2
254,stand,VBP,8w5ju2
255,stand,VBP,8w5ju2
256,loose,VB,8w5ju2
257,would,MD,8w5ju2
258,thought,VBD,8w5ju2
259,thought,VBD,8w5ju2
260,including,VBG,8w5ju2
261,disconnecting,VBG,8w5ju2
262,disconnecting,VBG,8w5ju2
263,trying,VBG,8w5ju2
264,think,VB,8w5ju2
265,evolve,VB,8w5ju2
266,reflect,VB,8w5ju2
267,seen,VBN,8w5ju2
268,seen,VBN,8w5ju2
269,become,VBN,8w5ju2
270,become,VBN,8w5ju2
271,become,VBN,8w5ju2
272,TORN,VBN,8w5ju2
273,falling,VBG,8w5ju2
274,approved,VBN,8w5ju2
275,Seeing,VBG,8w5ju2
276,made,VBN,8w5ju2
277,happening,VBG,8w5ju2
278,happening,VBG,8w5ju2
279,shifted,VBN,8w5ju2
280,felt,VBN,8w5ju2
281,felt,VBN,8w5ju2
282,Losing,VBG,8w5ju2
283,would,MD,8w5ju2
284,hurt,VB,8w5ju2
285,destroy,VB,8w5ju2
286,trying,VBG,8w5ju2
287,trying,VBG,8w5ju2
288,monetize,VB,8w5ju2
289,make,VB,8w5ju2
290,could,MD,8w5ju2
291,undo,VB,8w5ju2
292,undo,VB,8w5ju2
293,Thank,VBP,8w5ju2
294,read,VBN,8w5ju2
295,read,VBN,8w5ju2
296,wondering,VBG,8w5ju2
297,wondering,VBG,8w5ju2
298,stood,VBN,8w5ju2
299,stood,VBN,8w5ju2
300,loose,VB,8w5ju2
301,talking,VBG,8w5ju2
302,handle,VB,8w5ju2
303,handle,VB,8w5ju2
304,can,MD,8w5ju2
305,prepare,VB,8w5ju2
306,prepare,VB,8w5ju2
307,get,VBP,8w5ju2
308,caught,VBN,8w5ju2
309,talk,VBP,8w5ju2
310,talk,VBP,8w5ju2
311,could,MD,8w5ju2
312,lose,VB,8w5ju2
313,lose,VB,8w5ju2
314,destroyed,VBN,8w5ju2
315,can,MD,8w5ju2
316,prepare,VB,8w5ju2
317,prepare,VB,8w5ju2
318,happens,VBZ,8w5ju2
319,happens,VBZ,8w5ju2
320,learned,VBD,8whlwn
321,learned,VBD,8whlwn
322,reflects,VBZ,8whlwn
323,reflects,VBZ,8whlwn
324,having,VBG,8whlwn
325,having,VBG,8whlwn
326,leaned,VBD,8whlwn
327,leaned,VBD,8whlwn
328,left,VBN,8whlwn
329,steeped,VBN,8whlwn
330,written,VBN,8whlwn
331,written,VBN,8whlwn
332,know,VBP,8whlwn
333,know,VBP,8whlwn
334,stand,VBP,8whlwn
335,stand,VBP,8whlwn
336,loose,VB,8whlwn
337,would,MD,8whlwn
338,thought,VBD,8whlwn
339,thought,VBD,8whlwn
340,including,VBG,8whlwn
341,disconnecting,VBG,8whlwn
342,disconnecting,VBG,8whlwn
343,trying,VBG,8whlwn
344,think,VB,8whlwn
345,evolve,VB,8whlwn
346,reflect,VB,8whlwn
347,seen,VBN,8whlwn
348,seen,VBN,8whlwn
349,become,VBN,8whlwn
350,become,VBN,8whlwn
351,become,VBN,8whlwn
352,TORN,VBN,8whlwn
353,falling,VBG,8whlwn
354,approved,VBN,8whlwn
355,Seeing,VBG,8whlwn
356,made,VBN,8whlwn
357,happening,VBG,8whlwn
358,happening,VBG,8whlwn
359,shifted,VBN,8whlwn
360,felt,VBN,8whlwn
361,felt,VBN,8whlwn
362,Losing,VBG,8whlwn
363,would,MD,8whlwn
364,hurt,VB,8whlwn
365,destroy,VB,8whlwn
366,trying,VBG,8whlwn
367,trying,VBG,8whlwn
368,monetize,VB,8whlwn
369,make,VB,8whlwn
370,could,MD,8whlwn
371,undo,VB,8whlwn
372,undo,VB,8whlwn
373,Thank,VBP,8whlwn
374,read,VBN,8whlwn
375,read,VBN,8whlwn
376,wondering,VBG,8whlwn
377,wondering,VBG,8whlwn
378,stood,VBN,8whlwn
379,stood,VBN,8whlwn
380,loose,VB,8whlwn
381,talking,VBG,8whlwn
382,handle,VB,8whlwn
383,handle,VB,8whlwn
384,can,MD,8whlwn
385,prepare,VB,8whlwn
386,prepare,VB,8whlwn
387,get,VBP,8whlwn
388,caught,VBN,8whlwn
389,talk,VBP,8whlwn
390,talk,VBP,8whlwn
391,could,MD,8whlwn
392,lose,VB,8whlwn
393,lose,VB,8whlwn
394,destroyed,VBN,8whlwn
395,can,MD,8whlwn
396,prepare,VB,8whlwn
397,prepare,VB,8whlwn
398,happens,VBZ,8whlwn
399,happens,VBZ,8whlwn
400,learned,VBD,8wj7xq
401,learned,VBD,8wj7xq
402,reflects,VBZ,8wj7xq
403,reflects,VBZ,8wj7xq
404,having,VBG,8wj7xq
405,having,VBG,8wj7xq
406,leaned,VBD,8wj7xq
407,leaned,VBD,8wj7xq
408,left,VBN,8wj7xq
409,steeped,VBN,8wj7xq
410,written,VBN,8wj7xq
411,written,VBN,8wj7xq
412,know,VBP,8wj7xq
413,know,VBP,8wj7xq
414,stand,VBP,8wj7xq
415,stand,VBP,8wj7xq
416,loose,VB,8wj7xq
417,would,MD,8wj7xq
418,thought,VBD,8wj7xq
419,thought,VBD,8wj7xq
420,including,VBG,8wj7xq
421,disconnecting,VBG,8wj7xq
422,disconnecting,VBG,8wj7xq
423,trying,VBG,8wj7xq
424,think,VB,8wj7xq
425,evolve,VB,8wj7xq
426,reflect,VB,8wj7xq
427,seen,VBN,8wj7xq
428,seen,VBN,8wj7xq
429,become,VBN,8wj7xq
430,become,VBN,8wj7xq
431,become,VBN,8wj7xq
432,TORN,VBN,8wj7xq
433,falling,VBG,8wj7xq
434,approved,VBN,8wj7xq
435,Seeing,VBG,8wj7xq
436,made,VBN,8wj7xq
437,happening,VBG,8wj7xq
438,happening,VBG,8wj7xq
439,shifted,VBN,8wj7xq
440,felt,VBN,8wj7xq
441,felt,VBN,8wj7xq
442,Losing,VBG,8wj7xq
443,would,MD,8wj7xq
444,hurt,VB,8wj7xq
445,destroy,VB,8wj7xq
446,trying,VBG,8wj7xq
447,trying,VBG,8wj7xq
448,monetize,VB,8wj7xq
449,make,VB,8wj7xq
450,could,MD,8wj7xq
451,undo,VB,8wj7xq
452,undo,VB,8wj7xq
453,Thank,VBP,8wj7xq
454,read,VBN,8wj7xq
455,read,VBN,8wj7xq
456,wondering,VBG,8wj7xq
457,wondering,VBG,8wj7xq
458,stood,VBN,8wj7xq
459,stood,VBN,8wj7xq
460,loose,VB,8wj7xq
461,talking,VBG,8wj7xq
462,handle,VB,8wj7xq
463,handle,VB,8wj7xq
464,can,MD,8wj7xq
465,prepare,VB,8wj7xq
466,prepare,VB,8wj7xq
467,get,VBP,8wj7xq
468,caught,VBN,8wj7xq
469,talk,VBP,8wj7xq
470,talk,VBP,8wj7xq
471,could,MD,8wj7xq
472,lose,VB,8wj7xq
473,lose,VB,8wj7xq
474,destroyed,VBN,8wj7xq
475,can,MD,8wj7xq
476,prepare,VB,8wj7xq
477,prepare,VB,8wj7xq
478,happens,VBZ,8wj7xq
479,happens,VBZ,8wj7xq
480,learned,VBD,8wl0go
481,learned,VBD,8wl0go
482,reflects,VBZ,8wl0go
483,reflects,VBZ,8wl0go
484,having,VBG,8wl0go
485,having,VBG,8wl0go
486,leaned,VBD,8wl0go
487,leaned,VBD,8wl0go
488,left,VBN,8wl0go
489,steeped,VBN,8wl0go
490,written,VBN,8wl0go
491,written,VBN,8wl0go
492,know,VBP,8wl0go
493,know,VBP,8wl0go
494,stand,VBP,8wl0go
495,stand,VBP,8wl0go
496,loose,VB,8wl0go
497,would,MD,8wl0go
498,thought,VBD,8wl0go
499,thought,VBD,8wl0go
500,including,VBG,8wl0go
501,disconnecting,VBG,8wl0go
502,disconnecting,VBG,8wl0go
503,trying,VBG,8wl0go
504,think,VB,8wl0go
505,evolve,VB,8wl0go
506,reflect,VB,8wl0go
507,seen,VBN,8wl0go
508,seen,VBN,8wl0go
509,become,VBN,8wl0go
510,become,VBN,8wl0go
511,become,VBN,8wl0go
512,TORN,VBN,8wl0go
513,falling,VBG,8wl0go
514,approved,VBN,8wl0go
515,Seeing,VBG,8wl0go
516,made,VBN,8wl0go
517,happening,VBG,8wl0go
518,happening,VBG,8wl0go
519,shifted,VBN,8wl0go
520,felt,VBN,8wl0go
521,felt,VBN,8wl0go
522,Losing,VBG,8wl0go
523,would,MD,8wl0go
524,hurt,VB,8wl0go
525,destroy,VB,8wl0go
526,trying,VBG,8wl0go
527,trying,VBG,8wl0go
528,monetize,VB,8wl0go
529,make,VB,8wl0go
530,could,MD,8wl0go
531,undo,VB,8wl0go
532,undo,VB,8wl0go
533,Thank,VBP,8wl0go
534,read,VBN,8wl0go
535,read,VBN,8wl0go
536,wondering,VBG,8wl0go
537,wondering,VBG,8wl0go
538,stood,VBN,8wl0go
539,stood,VBN,8wl0go
540,loose,VB,8wl0go
541,talking,VBG,8wl0go
542,handle,VB,8wl0go
543,handle,VB,8wl0go
544,can,MD,8wl0go
545,prepare,VB,8wl0go
546,prepare,VB,8wl0go
547,get,VBP,8wl0go
548,caught,VBN,8wl0go
549,talk,VBP,8wl0go
550,talk,VBP,8wl0go
551,could,MD,8wl0go
552,lose,VB,8wl0go
553,lose,VB,8wl0go
554,destroyed,VBN,8wl0go
555,can,MD,8wl0go
556,prepare,VB,8wl0go
557,prepare,VB,8wl0go
558,happens,VBZ,8wl0go
559,happens,VBZ,8wl0go
560,learned,VBD,8wpoa3
561,learned,VBD,8wpoa3
562,reflects,VBZ,8wpoa3
563,reflects,VBZ,8wpoa3
564,having,VBG,8wpoa3
565,having,VBG,8wpoa3
566,leaned,VBD,8wpoa3
567,leaned,VBD,8wpoa3
568,left,VBN,8wpoa3
569,steeped,VBN,8wpoa3
570,written,VBN,8wpoa3
571,written,VBN,8wpoa3
572,know,VBP,8wpoa3
573,know,VBP,8wpoa3
574,stand,VBP,8wpoa3
575,stand,VBP,8wpoa3
576,loose,VB,8wpoa3
577,would,MD,8wpoa3
578,thought,VBD,8wpoa3
579,thought,VBD,8wpoa3
580,including,VBG,8wpoa3
581,disconnecting,VBG,8wpoa3
582,disconnecting,VBG,8wpoa3
583,trying,VBG,8wpoa3
584,think,VB,8wpoa3
585,evolve,VB,8wpoa3
586,reflect,VB,8wpoa3
587,seen,VBN,8wpoa3
588,seen,VBN,8wpoa3
589,become,VBN,8wpoa3
590,become,VBN,8wpoa3
591,become,VBN,8wpoa3
592,TORN,VBN,8wpoa3
593,falling,VBG,8wpoa3
594,approved,VBN,8wpoa3
595,Seeing,VBG,8wpoa3
596,made,VBN,8wpoa3
597,happening,VBG,8wpoa3
598,happening,VBG,8wpoa3
599,shifted,VBN,8wpoa3
600,felt,VBN,8wpoa3
601,felt,VBN,8wpoa3
