,verbs,tense,type_of_narr,postid
0,fall,VB,Being,1
1,voted,VBD,Being,1
2,tell,VB,Being,1
3,voting,VBG,Being,1
4,telling,VBG,Being,1
5,found,VBD,Being,1
6,stepping,VBG,Being,1
7,stepping,VBG,Being,1
8,knew,VBD,Being,1
9,going,VBG,Being,1
10,vote,VB,Being,1
11,leading,VBG,Being,1
12,deleted,VBD,Being,1
13,sent,VBD,Being,1
14,left,VBD,Being,1
15,calling,VBG,Being,1
16,dropped,VBD,Being,1
17,disappeared,VBD,Being,1
18,solidified,VBD,Being,1
19,validated,VBN,Being,1
20,respond,VB,Being,1
21,Took,VBD,Being,1
22,eating,VBG,Being,1
23,shared,VBD,Being,1
24,voting,VBG,Being,1
25,makes,VBZ,Being,2
26,solidify,VBP,Being,2
27,guarantee,VB,Being,2
28,gain,VBP,Being,2
29,advancing,VBG,Being,2
30,preserve,VB,Being,2
31,restore,VB,Being,2
32,will,MD,Being,2
33,doxxed,VBN,Being,2
34,threatened,VBD,Being,2
35,harassed,VBN,Being,2
36,shut,VBN,Being,2
37,lost,VBD,Being,2
38,assaulted,VBN,Being,2
39,attacked,VBN,Being,2
40,stalked,VBN,Being,2
41,targeted,VBN,Being,2
42,demonized,VBN,Being,2
43,received,VBN,Being,2
44,criticized,VBN,Being,2
45,insulted,VBN,Being,2
46,threatened,VBN,Being,2
47,forced,VBN,Being,2
48,leave,VB,Being,2
49,live,VBP,Becoming,3
50,supported,VBD,Becoming,3
51,thought,VBD,Becoming,3
52,support,VB,Becoming,3
53,told,VBN,Becoming,3
54,take,VB,Becoming,3
55,feared,VBD,Becoming,3
56,found,VBD,Becoming,3
57,graduate,VB,Becoming,3
58,watched,VBD,Becoming,3
59,Remember,VB,Becoming,3
60,felt,VBD,Becoming,3
61,said,VBD,Becoming,3
62,felt,VBD,Becoming,3
63,started,VBD,Becoming,3
64,looking,VBG,Becoming,3
65,found,VBD,Becoming,3
66,hate,VB,Becoming,3
67,found,VBD,Becoming,3
68,support,VBP,Becoming,3
69,voted,VBD,Becoming,3
70,could,MD,Becoming,3
71,see,VB,Becoming,3
72,told,VBD,Becoming,3
73,vote,VB,Becoming,3
74,’m,VBP,Becoming,3
75,attacked,VBN,Becoming,3
76,left,VBD,Becoming,3
77,read,VB,Becoming,4
78,registered,VBD,Becoming,4
79,know,VB,Becoming,4
80,came,VBD,Becoming,4
81,realize,VB,Becoming,4
82,leaned,VBD,Becoming,4
83,remember,VBP,Becoming,4
84,watching,VBG,Becoming,4
85,speak,VB,Becoming,4
86,understanding,VBG,Becoming,4
87,mesmerized,VBN,Becoming,4
88,vote,VB,Becoming,4
89,support,VB,Becoming,4
90,became,VBD,Becoming,4
91,prayed,VBD,Becoming,4
92,spoke,VBD,Becoming,4
93,divide,VB,Becoming,4
94,’s,VBZ,Becoming,4
95,agreed,VBD,Becoming,4
96,voted,VBD,Becoming,4
97,voting,VBG,Becoming,4
98,believe,VBP,Becoming,4
99,want,VB,Becoming,4
100,make,VB,Becoming,4
101,say,VB,Becoming,4
102,’s,VBZ,Becoming,4
103,following,VBG,Becoming,4
104,promised,VBD,Becoming,4
105,bashing,VBG,Becoming,4
106,sickens,VBZ,Becoming,4
107,state,VBP,Becoming,4
108,voted,VBD,Becoming,4
109,allowed,VBN,Becoming,4
110,understand,VB,Becoming,4
111,read,VB,Becoming,4
112,align,VBP,Becoming,4
113,feel,VBP,Becoming,4
114,Must,MD,Becoming,4
115,add,VB,Becoming,4
116,loves,VBZ,Becoming,4
117,wants,VBZ,Becoming,4
118,make,VB,Becoming,4
119,voted,VBD,Becoming,5
120,felt,VBD,Becoming,5
121,had,VBN,Becoming,5
122,implement,VB,Becoming,5
123,wanted,VBD,Becoming,5
124,started,VBD,Becoming,5
125,question,VB,Becoming,5
126,admit,VB,Becoming,5
127,supporting,VBG,Becoming,5
128,turned,VBD,Becoming,5
129,could,MD,Becoming,5
