Title,Body,Views,Being,Becoming,postid
Trace & Gary's #WalkAway,"We don't fall for identity politics. We are a gay couple who has been together for 20 years. In 2016, we voted for the Republican ticket. It was harder to tell our friends that we were voting Republican than it was telling our family we were gay 20 years ago. We found ourselves stepping out of one closet and stepping into a darker one. Our ""friends"" knew how we were going to vote leading up to the election. They quickly deleted us from Facebook, sent us nasty and hateful messages, left voice mails on our phone calling us traitors, and immediately dropped us from social events. Like Thanos' snap, they disappeared within a matter of seconds. These actions just solidified and validated our choice even more. What did we do to respond? Took pictures of us eating Chik-fil-a fries and shopping at Hobby Lobby and shared it. We are voting Republican again in 2020. ","8,996 views",1,0,1
Avialea's #WalkAway,"With every rabid attack that the left makes on Trump, they further solidify and guarantee his second victory in 2020. With every riot, assault, doxxing and act of physical intimidation, portrayal of the assassination of the president, and threat towards Conservatives, we gain one step in advancing the Conservative cause to preserve our country against the Left's insanity and restore our Republic's constitutional greatness. So, do what you will. I've been doxxed, threatened, harassed, permanently shut down and lost 20,000 followers. We have been assaulted, attacked, stalked, targeted by the mainstream media and demonized. President Trump has received death threats, his wife has been continually criticized and insulted, his son has been threatened by pedophiles, his cabinet has been forced to leave restaurants. But, unfortunately for all of you on the left, we have news for you: We're. Still. Here.","5,850 views",1,0,2
Shane's #WalkAway,I am not your normal republican. I am gay and I live in Tennessee. Throughout most of my life I supported democrats and the left. I thought because I was gay I had to support them. I was told Republicans were out to take my rights away. I feared the Republicans from the day I found out I was gay. When I was about to graduate high school I watched Trump's speech for the first time. Remember at this point I was full support of Hillary. I felt something from what he said. I felt safe for the first time. I then started looking into the Republican party and found that they don’t hate me. I found great friends who still support me to this day. I voted for Trump. For the first time in my life I could see the lies that the democrats told me. I don’t have to vote democrat if I’m gay. I was attacked by people on the left because I left the Democratic Party. This is why I #walkaway from the left.,"8,532 views",0,1,3
Sherry's #WalkAway,"It is so encouraging to read the stories of people with the same viewpoints as myself. Back when I was 18, I registered as a Democrat because at that age I really didn’t know much about what my political ideas were. Over the years I came to realize that I leaned much more conservative in my belief system. I remember back during the first Obama campaign watching him speak and understanding why people were mesmerized by him. I did not vote for him nor did I support him but once he became our president I prayed for him and never spoke out publicly with hatred and bashing. His presidency did so much to divide our great country and it’s sickening. Fast forward to today and the Trump campaign - Truthfully I was never really a Trump fan - I agreed with his ideas but wasn’t a fan...I voted for him because in my mind I was voting for the lesser of two evils. I was wrong about Trump. I truly believe he does want to make America great again and although he doesn’t always say things or do things that are politically correct his intentions are real and he’s following through with what he promised to do. The hate and bashing from the left sickens me. I actually had a family member publicly state that if any of his friends or relatives voted for Trump they were no longer allowed around his children. How is that OK? I just don’t understand any of it. This movement is refreshing and it is inspiring to read stories that align with the way I feel about our country and our President. Must add...this is me...I am not a bot or something crazy like that. Just a single mom who loves her country and wants to make it a better place for my children and future generations","4,085 views",0,1,4
Terri's #WalkAway,"I am 66 yrs old and have been a lifelong moderate Democrat. I voted for Obama in 2008 and again in 2012 because I felt he hadn't had enough time to implement the changes he wanted. I started to really question my choice shortly after the second election. I finally had to admit that the agenda was all talk and was supporting dishonest, dangerous policies. I was mortified when he turned his back on our law enforcement and Israel. I could finally see that politicians are bought and paid for and not in the least bit for the people of this country. I started to detest Hillary when she bashed the women abused by her husband and when the entire Democratic party rallied in support of him despite his perjury. Her corruption only became more apparent to me during Obama's administration. When she ran for President I felt myself cringe. I knew in my heart I could never support her, but I didn't really like Trump either. When her Email scandal was exposed, with all the evidence collected, I was appalled that there were no charges brought against her. She was never held to the same standards that we all are. The Clinton Machine is a dangerous, powerful, corrupt entity. I voted for Trump because he wasn't a politician. He was a businessman and was not in anyone's pocket. I became increasingly mortified at the amount of hate, fear, violence and intimidation promoted by the Democrats towards him and his family. The vicious attacks by the MSM. The vulgar, hateful, slanderous attacks by The Hollywood elite and this is all OK in their eyes. I realized then that I made the right choice in walking away. The Liberal Radical Left insanity going on has left me in their toxic dust. This is not the party I knew. I love to listen to Fox News and see civil discussions. I watch the investigations into DOJ and FBI and think to myself that none of this would have ever been exposed had Hillary won, the corruption runs deep. Trump loves America and is truly helping to expose and drain the swamp. I pray for his safety and continued success. The hypocrisy of the left is mind boggling and as long as they promote and defend illegal immigration, intimidation and suppression of free speech, public harassment, hate and violence, I know I can never support or be a part of them again. Thank you for allowing me to join this group. I can finally say what I feel in my heart. I am an American first and I love my Country. #WalkAway I am not a bot!","4,760 views",0,1,5
Brian's #WalkAway,"Reasons I decided to #Walkaway When Hate crimes that were Front Page news became Back Page news if they turned out to be fake. When Obama brought up police brutality at the funeral of murdered police officers in Dallas. When Marxism is celebrated even though it murdered 100 million people in the last century. When identity politics became more valid than having an argument. When you can publicly demonize white males to the point of celebrating them becoming “extinct” (literally something a friend told me). I’m so happy I walked away and as the Left delves deeper into identify politics and socialism, there’s ZERO chance I’ll be walking back.","2,853 views",NA,NA,6
Bobby's #WalkAway,"I am a UAW member and for the record I am NOT anti-Union. I am Anti CORRUPT Union. I was raised in a a suburb of Detroit. Both my Mother and my father were hard working, blue collar Union workers. They were factory workers by trade, and our household was pure Democrat and members of the UAW. Politically, I was raised a Democrat but leaned Republican after watching Carter screw America so badly. I voted for Ronald Reagan for the presidency. Even though I wasn't impressed when he followed through with Jimmy Carter's previous agenda to bust the PATCO workers. I still liked Reagan's overall policies. After Clinton took office I was thoroughly convinced that BOTH parties had an equal hand in selling out the American workers by exporting jobs to slave trade countries. By 2008, I became convinced that the Republican Party had abandoned its conservative, constitutional principles and I started leaning Libertarian. Then comes Obama's tales of change and hope that had mislead the American people and he had carried the torch faithfully for Wall Street as much as any of his predecessors. He drove the knife in the backs of millions of union workers and is directly responsible for the attack on middle income workers with his attack on our wages while leaving the auto execs making billions!!!! His policies forced workers to 2 tier and even 3rd tier wages and forced us to give up our only effective bargaining tool by giving up our right to strike. He continued his attack on our jobs with BS agreements with Korea, NATO and WTO. I voted for Trump and now realize he is way better than Obama 2.0 (Hillary) ever could have been. I am glad to say that I am part of the #WalkAway Campaign. So far so good!","2,344 views",1,0,7
Andrea's #WalkAway,Ok .. I became a member of #walkaway a couple days ago but here is my testimony. So I walked away from the Democratic Party when I was about 30 ( I am 37). I didn’t know any better and didn’t care to growing up. I grew up with Democrats and that is how I voted. I remember voting for Gore and hating Bush for whatever reason #brainwashed and my stepdad thought Clinton was awesome but until I got married and had my first kid it dawned on me that so should probably look the candidates up and see who actually seem fit to me (I also married a Republican ). I wasn’t crazy about McCain/ Paliin ticket but was a huge Palin fan so I voted for that one but honestly when Obama won I thought ok I will give him the benefit of the doubt and then I was almost 9 months pregnant and standing out on the side of the road with Mitt Romney signs with a hope and a bright future for my little one. Obama won and I was devastated and when we got hit with Obamacare and I actually felt the hurt of money out of our pockets because of the premiums I was furious. Trump may not have been my first pick but between him and Hillary there was no way I was #withher. This is a scary time. I worry about what kind of world will be left for our children and with the left loving socialism and getting out of control it’s only a matter of time. I love this country and I thank God that I was blessed to call this my home. I have a voice and we all have voices that need to be heard. Not a Russian Bot just a concerned citizen of this great country#MAGA2020,"2,407 views",0,1,8
Randy's #WalkAway,"Are you kidding me? Four days ago I asked to join this group! Two days ago I was accepted and posted a short comment about how I felt about the direction this great nation was heading towards, and didn't want to join a group that was full of trash and hate. Today I have received over one thousand likes and love and I have lost track of all the welcome and positive comments posted on my simple post from fellow Americans! I think the saying of ""You had me at hello"" would be an understatement! I am now part of a group that is dedicated to America and even if we don't agree on the way we rebuild this great nation that in my opinion is even better! I have read many posts watched many videos and I have yet to see anything but respect from EVERYBODY! Why I was even interested in this group is three fold, 1st I want what I had growing up with for my grandchildren an America they can be proud of! 2nd, I am and foremost a God Fearing, flag waving, gun owning American and I stand and place my hand over my heart when the national anthem is played! I'm not a democrat nor a republican and last 3rd, Im looking and actually need to find other Americans to converse with and bounce ideas with! I am a swing vote voter and vote for who I think is going to be best for America! Now why I am I this way...childhood memories is the best I can come up with! My dad was a hardened veteran of WWII and a true blue southern baptist democrat from the south, my mom from the farmlands of our nation a true blue democratic Lutheran. My first memory on politics and religion was in 4 grade and Dwight Eisenhower was the setting President and who was running for president next but a young catholic man named John Kennedy, talk about a mixed heated debate coming from my parents and their friends would also be understated! JFK did win and I'm sure my parents reluctantly voted for him because they were democrats and so was he! What brought it together for them and me was the inaugural address he gave..."" My fellow Americans - Ask not what your country can do for you - ask what you can do for your country""! Zing, both my very hard working parents from the great depression were onboard with this new President and who I ask, who wouldn't be in 4th grade, haha! But that is the day I became an American! Over the years I tried my best to stand with candidates that spoke like they were Americans and over those years I saw a slide from one side to the other with the value I hold so dear and it was so slight I'm not sure to this day people realize that and hold fast to there side of the parties! What got me really off the band wagon was after 9-11 America came alive with patriotism beyond belief and who was running for president yeah a really good orator and yes I was strongly temped to vote for him but there was something about his way with words that triggered what a southern baptist smooth orator preacher said from high on the pulpit that scared the crap out of me at a young age, no I didn't vote for this smooth orator! Over the next 8 years I saw this smooth talker devastate and give away my America...to say I was upset would also be an understatement, no I never was going to shoot up the place or set fire to buildings or riot in the streets! Now then who next was running for president...yeah a person that killed Americans after she turned her back when they pleaded for help...yeah right, not going to vote for that sort of person and wondered why she was aloud to even run for office and this guy that pointed a finger and said ""Your Fired"" on TV, oh yeah and a communist plan and simple, ha, what a choice I was thinking we as Americans have! Okay I watched the debates and cringed when ""she"" had the floor, but found myself smiling when this your fired guy said he thinks she should in prison, (I wasn't alone in thinking she should not even been running for the highest office in the world), and he was blunt enough to say it on national TV. I then did my research on this business man and thought that is exactly the person to do what is needed for America, bring America back from where she was sent to be in the corner to collect dust and again light her torch and Be America Again! This man Our President the man that is an American, believes in God, stands with Americans both in and out of uniform, stands with farmers, auto workers, coal workers and stock brokers, rough around the edges, not a politician, does tweets that just tell it like it is and drives me up the wall at times, that tells leaders of counties and the UN the bank is closed, talks with our enemies, brings home our fallen heroes and does what he said he was going to do right there on the debating stage just over a year and a half ago, yeah I voted wisely and in my definition of voting I didn't vote democratic or republican I voted in a RAPTOR and I am ready to vote in more! I am seeing America sweep off the dust and starting to stand tall again, I now have hope for my grand babies future again! My friends, America is Americans not the dysfunctional politicians on both side of the aisle that we have at present! We are not democrats or republicans we are Americans! President Trump says drain the swamp and that is also way understated! Let's help this business man bring her back! Make your vote stand for America after you do your research for NOTHING LESS is good enough!","2,979 views",1,0,9
Lisa's #WalkAway,"I was going to do a video but I know that will never happen so here I am, not a BOT, but an American who has never sided with a political party and now will vow to never vote Democrat again. I just decided to post after that recent post of the man on here who had a neighbor leave a note to take his American flag down as it was a symbol of hate. Wow. Born and raised outside of Boston, we never talked politics in our family. My dad, a Marine, was a definite Republican and my mother said you never ask who someone votes for, when they are getting married or when they are having kids. {smart in the 70s, now we have to be vocal to keep our country together}. I never followed politics that much and when it came time to vote, I voted on issues I knew, but turns out, I had just sound bytes on. I voted Bush Sr., Bill Clinton., Bush Jr., Obama {twice} and now Trump {and will vote him again....if you see the pattern, everyone I vote for tends to win {smile}. My awakening came when I moved from a busy part of the country in New England to 45 minutes from any town in the southern rockies of Colorado. One fall afternoon, I was followed while out running by three men in a truck and it went on for an hour until I had to run through the woods and behind homes to my house as they frantically drove around looking for me. I was able to get home safe and did something I never thought I would have to do, and that was buy a gun, take a conceal carry class and practice it often. In a place with under 500 people in the fall and winter, no cell service at 8K feet in elevation and 45 minutes from police help, I was not having that happen twice. But when I told family and friends back east, they were shocked {as that isn't like me to own a gun} and I was told not to tell my nieces and nephews I owned a gun {because they are really not used to being around them and some of our family are not a fan of them}. That is when I saw the cultural difference between the northeast and southern Colorado. The difference between a liberal mentality towards our right to bear arms in the northeast {people not thinking guns should be in the hands of the average person} compared to the need and desire in the southwest and the conservatives views on it. It made me buy more, actually, and practice more and while I don't hunt, I enjoy it and add to my collection. A dear friend that I became close with would often ask me why I stood behind Obama. I honestly ""thought"" I knew, but I didn't. I was flying all over the country for work, working 12-14 hour days, being brainwashed in the terminals of airports by CNN and MSNBC and then continued that when I got home. I never turned Fox on, even though my niece had been an anchor for Fox outside of Philadelphia. This particular friend challenged me to watch Fox for a week. It was around the time of the Ferguson riots and I got to witness first hand the difference in reporting. As well as the division in our country that our President at the time, Obama, and his side kick Holder, were creating. Not to mention the direct outright attacks on our policemen and women. I was mortified. I thought, who is even going to want to JOIN the force after this? Then what happens to the safety and law and order in this country? It was then that I publicly apologized to everyone on my Facebook page and in person for voting that guy in. I was embarrassed I had not taken an active part in my country and our politics. At the time, my husband and I were both self employed and I thought, hey, let's see about this Affordable Care Act. My first quote was $1,500.00 for two adults and the hospital that was 45 minutes away wasn't on the plan, the one 3 hours away was. My second quote last year was $1,700.00 a month for two adults. No children. No surgeries, never been under anesthesia. Because we make decent salaries, I realized we are now supposed to pay for the people in the county that want to rent houses and ski the mountain and bar-tend when there are no powder days. To the tune of someone telling me they pay $50.00 a month and everything is covered. Me? I had another mortgage payment in the form of the lowest coverage health insurance and oh, if you don't pay it, you get fined. On top of that I had to pay $3,500 in physical therapy from a dogsledding accident I had - the girl paying $50.00 a month on Obamacare? Her therapy was all covered. Approaching 50 years old, I decided I would give up my business last year and work for a company directly. Both for the team interaction as well as it would provide me and my husband healthcare without the nightmare of the ACA. What a shame this is how the Affordable Care Act worked out. As a result, I decided to learn everything and anything I could about politics and I witnessed the complete breakdown of the left when Trump won office. I saw the hate, the lunatic fringe mentality and I saw even more division I had ever seen in my life. I paid attention to the corruption in the Clintons, the Obamas and the FBI. I lost friends on Facebook and in real life {LOL} when I started posting my political views and discussing my right to bear arms, own an AR15 and wear a right to bear arms dog tag with a .22 bullet around my neck. I hang the American flag everyday and a Don't Tread on Me Gadsden flag. I am proud to call this country my home. Proud that my family fought in our wars. I have been to every state in this country and there are good decent people all over. We need to stand up to this hate and get people to unite and to love one another again, regardless of their backgrounds or political stances. This movement is doing just that and I am proud to be a part of it. Lastly, I am saddened that this country forgets itself. My hometown in Massachusetts had men marching from our center town commons to the North Bridge in Concord {not too far away} to start the Revolutionary War after Gage sent his men to take our munitions in that barn...today, there are kids on those town center lawns protesting guns, with their parents along side them. Old Ironsides, The Old North Bridge - this is where our field trips were as kids. We pledged the flag in school in the mornings. Today? #@$%$ the NRA signs held by 8 year olds and worse signs held by young women alongside their moms in protests to our country. To this day, when I see another #$@%$ the NRA post by someone, I pay for another friends membership for one year. I urge people to do the same when and if they can. I walked away. I urge people to RUN away from the hate and start spreading love and unity and common sense. Let's not have our forefathers continue to spin in their collective graves. We are Americans and everyone should be acting like it. Thank you for this page. Peace.","2,469 views",0,1,10
