,noun_phrase,postid,type_of_narr
0,We,1,Being
1,identity politics,1,Being
2,We,1,Being
3,a gay couple,1,Being
4,who,1,Being
5,20 years,1,Being
6,we,1,Being
7,the Republican ticket,1,Being
8,It,1,Being
9,our friends,1,Being
10,we,1,Being
11,Republican,1,Being
12,it,1,Being
13,our family,1,Being
14,we,1,Being
15,We,1,Being
16,ourselves,1,Being
17,one closet,1,Being
18,a darker one,1,Being
19,"Our ""friends",1,Being
20,we,1,Being
21,the election,1,Being
22,They,1,Being
23,us,1,Being
24,Facebook,1,Being
25,us,1,Being
26,nasty and hateful messages,1,Being
27,voice mails,1,Being
28,our phone,1,Being
29,us,1,Being
30,social events,1,Being
31,Thanos' snap,1,Being
32,they,1,Being
33,a matter,1,Being
34,seconds,1,Being
35,These actions,1,Being
36,our choice,1,Being
37,What,1,Being
38,we,1,Being
39,pictures,1,Being
40,us,1,Being
41,Chik-fil,1,Being
42,a fries,1,Being
43,shopping,1,Being
44,Hobby Lobby,1,Being
45,it,1,Being
46,We,1,Being
47,Republican,1,Being
48,every rabid attack,2,Being
49,the left,2,Being
50,Trump,2,Being
51,they,2,Being
52,his second victory,2,Being
53,every riot,2,Being
54,assault,2,Being
55,doxxing,2,Being
56,act,2,Being
57,physical intimidation,2,Being
58,portrayal,2,Being
59,the assassination,2,Being
60,the president,2,Being
61,threat,2,Being
62,Conservatives,2,Being
63,we,2,Being
64,one step,2,Being
65,the Conservative cause,2,Being
66,our country,2,Being
67,the Left's insanity,2,Being
68,our Republic's constitutional greatness,2,Being
69,what,2,Being
70,you,2,Being
71,I,2,Being
72,"20,000 followers",2,Being
73,We,2,Being
74,the mainstream media,2,Being
75,President Trump,2,Being
76,death threats,2,Being
77,his wife,2,Being
78,his son,2,Being
79,pedophiles,2,Being
80,his cabinet,2,Being
81,restaurants,2,Being
82,you,2,Being
83,the left,2,Being
84,we,2,Being
85,news,2,Being
86,you,2,Being
87,We,2,Being
88,I,3,Becoming
89,I,3,Becoming
90,I,3,Becoming
91,Tennessee,3,Becoming
92,my life,3,Becoming
93,I,3,Becoming
94,democrats,3,Becoming
95,the left,3,Becoming
96,I,3,Becoming
97,I,3,Becoming
98,I,3,Becoming
99,them,3,Becoming
100,I,3,Becoming
101,Republicans,3,Becoming
102,my rights,3,Becoming
103,I,3,Becoming
104,the Republicans,3,Becoming
