,nvpairs,type
0,"(We, fall, None)",Being
0,"(We, are, None)",Being
0,"(we, voted, None)",Being
0,"(It, was, None)",Being
0,"(We, found, None)",Being
0,"(friends, knew, None)",Being
0,"(They, deleted, us)",Being
0,"(they, disappeared, None)",Being
0,"(actions, solidified, None)",Being
0,"(we, do, What)",Being
0,"(None, Took, pictures)",Being
0,"(We, voting, Republican)",Being
1,"(they, solidify, None)",Being
1,"(we, gain, step)",Being
1,"(None, do, None)",Being
1,"(None, doxxed, None)",Being
1,"(None, assaulted, None)",Being
1,"(None, forced, None)",Being
1,"(we, have, news)",Being
1,"(We, 're, None)",Being
1,"(None, Still, None)",Being
1,"(None, Here, None)",Being
2,"(I, am, None)",Being
2,"(I, am, None)",Being
2,"(None, raised, None)",Being
2,"(Mother, were, None)",Being
2,"(They, were, None)",Being
2,"(None, raised, Democrat)",Being
2,"(I, voted, None)",Being
2,"(I, was, None)",Being
2,"(I, liked, policies)",Being
2,"(None, convinced, None)",Being
2,"(I, became, None)",Being
2,"(tales, comes, None)",Being
2,"(He, drove, knife)",Being
2,"(policies, forced, workers)",Being
2,"(He, continued, attack)",Being
2,"(I, voted, None)",Being
2,"(Hillary, been, None)",Being
2,"(I, am, None)",Being
2,"(None, good, None)",Being
3,"(you, kidding, me)",Being
3,"(I, asked, None)",Being
3,"(None, accepted, None)",Being
3,"(I, received, likes)",Being
3,"(I, lost, track)",Being
3,"(I, think, saying)",Being
3,"(None, be, None)",Being
3,"(I, am, None)",Being
3,"(I, read, posts)",Being
3,"(I, have, None)",Being
3,"(I, was, None)",Being
3,"(I, want, None)",Being
3,"(I, am, None)",Being
3,"(I, 'm, None)",Being
3,"(I, am, None)",Being
3,"(I, am, None)",Being
3,"(memories, is, None)",Being
3,"(dad, was, None)",Being
3,"(memory, was, None)",Being
3,"(JFK, win, None)",Being
3,"(What, brought, it)",Being
3,"(None, "", None)",Being
3,"(None, ask, None)",Being
3,"(Zing, were, None)",Being
3,"(that, is, None)",Being
3,"(I, tried, best)",Being
3,"(None, dear, None)",Being
3,"(it, was, None)",Being
3,"(I, 'm, None)",Being
3,"(None, was, None)",Being
3,"(None, yeah, None)",Being
3,"(None, orator, None)",Being
3,"(None, temped, None)",Being
3,"(None, was, None)",Being
3,"(I, vote, None)",Being
3,"(I, saw, None)",Being
3,"(None, be, None)",Being
3,"(I, going, None)",Being
3,"(who, running, None)",Being
3,"(None, yeah, None)",Being
