,verbs,tense,postid
0,learned,VBD,8vbp1x
1,reflects,VBZ,8vbp1x
2,having,VBG,8vbp1x
3,leaned,VBD,8vbp1x
4,written,VBN,8vbp1x
5,know,VBP,8vbp1x
6,stand,VBP,8vbp1x
7,thought,VBD,8vbp1x
8,disconnecting,VBG,8vbp1x
9,seen,VBN,8vbp1x
10,become,VBN,8vbp1x
11,happening,VBG,8vbp1x
12,felt,VBN,8vbp1x
13,trying,VBG,8vbp1x
14,undo,VB,8vbp1x
15,read,VBN,8vbp1x
16,wondering,VBG,8vbp1x
17,stood,VBN,8vbp1x
18,handle,VB,8vbp1x
19,prepare,VB,8vbp1x
20,talk,VBP,8vbp1x
21,lose,VB,8vbp1x
22,prepare,VB,8vbp1x
23,happens,VBZ,8vbp1x
24,learned,VBD,8vi6xm
25,reflects,VBZ,8vi6xm
26,having,VBG,8vi6xm
27,leaned,VBD,8vi6xm
28,written,VBN,8vi6xm
29,know,VBP,8vi6xm
30,stand,VBP,8vi6xm
31,thought,VBD,8vi6xm
32,disconnecting,VBG,8vi6xm
33,seen,VBN,8vi6xm
34,become,VBN,8vi6xm
35,happening,VBG,8vi6xm
36,felt,VBN,8vi6xm
37,trying,VBG,8vi6xm
38,undo,VB,8vi6xm
39,read,VBN,8vi6xm
40,wondering,VBG,8vi6xm
41,stood,VBN,8vi6xm
42,handle,VB,8vi6xm
43,prepare,VB,8vi6xm
44,talk,VBP,8vi6xm
45,lose,VB,8vi6xm
46,prepare,VB,8vi6xm
47,happens,VBZ,8vi6xm
48,learned,VBD,8vkfk3
49,reflects,VBZ,8vkfk3
50,having,VBG,8vkfk3
51,leaned,VBD,8vkfk3
52,written,VBN,8vkfk3
53,know,VBP,8vkfk3
54,stand,VBP,8vkfk3
55,thought,VBD,8vkfk3
56,disconnecting,VBG,8vkfk3
57,seen,VBN,8vkfk3
58,become,VBN,8vkfk3
59,happening,VBG,8vkfk3
60,felt,VBN,8vkfk3
61,trying,VBG,8vkfk3
62,undo,VB,8vkfk3
63,read,VBN,8vkfk3
64,wondering,VBG,8vkfk3
65,stood,VBN,8vkfk3
66,handle,VB,8vkfk3
67,prepare,VB,8vkfk3
68,talk,VBP,8vkfk3
69,lose,VB,8vkfk3
70,prepare,VB,8vkfk3
71,happens,VBZ,8vkfk3
72,learned,VBD,8w5ju2
73,reflects,VBZ,8w5ju2
74,having,VBG,8w5ju2
75,leaned,VBD,8w5ju2
76,written,VBN,8w5ju2
77,know,VBP,8w5ju2
78,stand,VBP,8w5ju2
79,thought,VBD,8w5ju2
80,disconnecting,VBG,8w5ju2
81,seen,VBN,8w5ju2
82,become,VBN,8w5ju2
83,happening,VBG,8w5ju2
84,felt,VBN,8w5ju2
85,trying,VBG,8w5ju2
86,undo,VB,8w5ju2
87,read,VBN,8w5ju2
88,wondering,VBG,8w5ju2
89,stood,VBN,8w5ju2
90,handle,VB,8w5ju2
91,prepare,VB,8w5ju2
92,talk,VBP,8w5ju2
93,lose,VB,8w5ju2
94,prepare,VB,8w5ju2
95,happens,VBZ,8w5ju2
96,learned,VBD,8whlwn
97,reflects,VBZ,8whlwn
98,having,VBG,8whlwn
99,leaned,VBD,8whlwn
100,written,VBN,8whlwn
101,know,VBP,8whlwn
102,stand,VBP,8whlwn
103,thought,VBD,8whlwn
104,disconnecting,VBG,8whlwn
105,seen,VBN,8whlwn
106,become,VBN,8whlwn
107,happening,VBG,8whlwn
108,felt,VBN,8whlwn
109,trying,VBG,8whlwn
110,undo,VB,8whlwn
111,read,VBN,8whlwn
112,wondering,VBG,8whlwn
113,stood,VBN,8whlwn
114,handle,VB,8whlwn
115,prepare,VB,8whlwn
116,talk,VBP,8whlwn
117,lose,VB,8whlwn
118,prepare,VB,8whlwn
119,happens,VBZ,8whlwn
120,learned,VBD,8wj7xq
121,reflects,VBZ,8wj7xq
122,having,VBG,8wj7xq
123,leaned,VBD,8wj7xq
124,written,VBN,8wj7xq
125,know,VBP,8wj7xq
126,stand,VBP,8wj7xq
127,thought,VBD,8wj7xq
128,disconnecting,VBG,8wj7xq
129,seen,VBN,8wj7xq
130,become,VBN,8wj7xq
131,happening,VBG,8wj7xq
132,felt,VBN,8wj7xq
133,trying,VBG,8wj7xq
134,undo,VB,8wj7xq
135,read,VBN,8wj7xq
136,wondering,VBG,8wj7xq
137,stood,VBN,8wj7xq
138,handle,VB,8wj7xq
139,prepare,VB,8wj7xq
140,talk,VBP,8wj7xq
141,lose,VB,8wj7xq
142,prepare,VB,8wj7xq
143,happens,VBZ,8wj7xq
144,learned,VBD,8wl0go
145,reflects,VBZ,8wl0go
146,having,VBG,8wl0go
147,leaned,VBD,8wl0go
148,written,VBN,8wl0go
149,know,VBP,8wl0go
150,stand,VBP,8wl0go
151,thought,VBD,8wl0go
152,disconnecting,VBG,8wl0go
153,seen,VBN,8wl0go
154,become,VBN,8wl0go
155,happening,VBG,8wl0go
156,felt,VBN,8wl0go
157,trying,VBG,8wl0go
158,undo,VB,8wl0go
159,read,VBN,8wl0go
160,wondering,VBG,8wl0go
161,stood,VBN,8wl0go
162,handle,VB,8wl0go
163,prepare,VB,8wl0go
164,talk,VBP,8wl0go
165,lose,VB,8wl0go
166,prepare,VB,8wl0go
167,happens,VBZ,8wl0go
168,learned,VBD,8wpoa3
169,reflects,VBZ,8wpoa3
170,having,VBG,8wpoa3
171,leaned,VBD,8wpoa3
172,written,VBN,8wpoa3
173,know,VBP,8wpoa3
174,stand,VBP,8wpoa3
175,thought,VBD,8wpoa3
176,disconnecting,VBG,8wpoa3
177,seen,VBN,8wpoa3
178,become,VBN,8wpoa3
179,happening,VBG,8wpoa3
180,felt,VBN,8wpoa3
181,trying,VBG,8wpoa3
182,undo,VB,8wpoa3
183,read,VBN,8wpoa3
184,wondering,VBG,8wpoa3
185,stood,VBN,8wpoa3
186,handle,VB,8wpoa3
187,prepare,VB,8wpoa3
188,talk,VBP,8wpoa3
189,lose,VB,8wpoa3
190,prepare,VB,8wpoa3
191,happens,VBZ,8wpoa3
192,learned,VBD,8wqze5
193,reflects,VBZ,8wqze5
194,having,VBG,8wqze5
195,leaned,VBD,8wqze5
196,written,VBN,8wqze5
197,know,VBP,8wqze5
198,stand,VBP,8wqze5
199,thought,VBD,8wqze5
200,disconnecting,VBG,8wqze5
201,seen,VBN,8wqze5
202,become,VBN,8wqze5
203,happening,VBG,8wqze5
204,felt,VBN,8wqze5
205,trying,VBG,8wqze5
206,undo,VB,8wqze5
207,read,VBN,8wqze5
208,wondering,VBG,8wqze5
209,stood,VBN,8wqze5
210,handle,VB,8wqze5
211,prepare,VB,8wqze5
212,talk,VBP,8wqze5
213,lose,VB,8wqze5
214,prepare,VB,8wqze5
215,happens,VBZ,8wqze5
216,learned,VBD,8wvdxo
217,reflects,VBZ,8wvdxo
218,having,VBG,8wvdxo
219,leaned,VBD,8wvdxo
220,written,VBN,8wvdxo
221,know,VBP,8wvdxo
222,stand,VBP,8wvdxo
223,thought,VBD,8wvdxo
224,disconnecting,VBG,8wvdxo
225,seen,VBN,8wvdxo
226,become,VBN,8wvdxo
227,happening,VBG,8wvdxo
228,felt,VBN,8wvdxo
229,trying,VBG,8wvdxo
230,undo,VB,8wvdxo
231,read,VBN,8wvdxo
232,wondering,VBG,8wvdxo
233,stood,VBN,8wvdxo
234,handle,VB,8wvdxo
235,prepare,VB,8wvdxo
236,talk,VBP,8wvdxo
237,lose,VB,8wvdxo
238,prepare,VB,8wvdxo
239,happens,VBZ,8wvdxo
240,learned,VBD,8wvl7y
241,reflects,VBZ,8wvl7y
242,having,VBG,8wvl7y
243,leaned,VBD,8wvl7y
244,written,VBN,8wvl7y
245,know,VBP,8wvl7y
246,stand,VBP,8wvl7y
247,thought,VBD,8wvl7y
248,disconnecting,VBG,8wvl7y
249,seen,VBN,8wvl7y
250,become,VBN,8wvl7y
251,happening,VBG,8wvl7y
252,felt,VBN,8wvl7y
253,trying,VBG,8wvl7y
254,undo,VB,8wvl7y
255,read,VBN,8wvl7y
256,wondering,VBG,8wvl7y
257,stood,VBN,8wvl7y
258,handle,VB,8wvl7y
259,prepare,VB,8wvl7y
260,talk,VBP,8wvl7y
